CustomerID,PrimaryCountry,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,CustomerLifetimeDays,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,UniqueProducts,AvgQty,Cluster_K4,Segment_KMeans,Segment_DBSCAN,IsDBSCANOutlier
12346,United Kingdom,326,12,77556.46,74285,6463.04,400,2,5,5,255,27,6190.42,3,🏆 Champions,-1,True
12347,Iceland,3,8,4921.53,2967,615.19,402,5,4,5,545,126,370.88,3,🏆 Champions,0,False
12348,Finland,76,5,2019.4,2714,403.88,363,3,4,4,344,25,542.8,0,💙 Loyal Customers,0,False
12349,Italy,19,4,4428.6900000000005,1624,1107.17,571,5,3,5,535,138,406.0,3,🏆 Champions,0,False
12350,Norway,311,1,334.40000000000003,197,334.4,0,2,1,2,212,17,197.0,2,⚠️ At Risk,0,False
12351,Unspecified,376,1,300.93,261,300.93,0,2,1,2,212,21,261.0,2,⚠️ At Risk,0,False
12352,Norway,37,10,2849.84,724,284.98,356,4,5,4,454,70,72.4,0,💙 Loyal Customers,0,False
12353,Bahrain,205,2,406.76,212,203.38,204,2,2,2,222,23,106.0,0,💙 Loyal Customers,0,False
12354,Spain,233,1,1079.4,530,1079.4,0,2,1,3,213,58,530.0,2,⚠️ At Risk,0,False
12355,Bahrain,215,2,947.61,543,473.8,353,2,2,3,223,35,271.5,0,💙 Loyal Customers,0,False
12356,Portugal,23,6,6371.7300000000005,3416,1061.96,402,4,4,5,445,104,569.33,3,🏆 Champions,0,False
12357,Switzerland,34,3,18287.66,6587,6095.89,355,4,3,5,435,261,2195.67,3,🏆 Champions,-1,True
12358,Austria,2,5,3887.07,1079,777.41,730,5,4,5,545,56,215.8,3,🏆 Champions,-1,True
12359,Cyprus,58,10,8873.39,2739,887.34,677,4,5,5,455,305,273.9,3,🏆 Champions,0,False
12360,Austria,53,8,4252.89,2459,531.61,603,4,4,5,445,160,307.38,3,🏆 Champions,0,False
12361,Belgium,288,4,511.25,235,127.81,395,2,3,2,232,18,58.75,0,💙 Loyal Customers,0,False
12362,Belgium,4,11,5356.2300000000005,2230,486.93,735,5,5,5,555,201,202.73,3,🏆 Champions,0,False
12363,Unspecified,110,2,552.0,408,276.0,133,3,2,2,322,23,204.0,0,💙 Loyal Customers,0,False
12364,Belgium,8,4,1313.1,1506,328.28,105,5,3,4,534,70,376.5,3,🏆 Champions,0,False
12365,Cyprus,292,2,641.38,174,320.69,0,2,2,3,223,22,87.0,2,⚠️ At Risk,0,False
12366,Cyprus,634,1,500.24,296,500.24,0,1,1,2,112,3,296.0,2,⚠️ At Risk,-1,True
12367,Denmark,5,1,168.9,173,168.9,0,5,1,1,511,11,173.0,2,⚠️ At Risk,0,False
12368,Cyprus,629,1,917.7,330,917.7,0,1,1,3,113,18,330.0,2,⚠️ At Risk,0,False
12369,Austria,414,3,1791.15,1241,597.05,228,1,3,4,134,90,413.67,0,💙 Loyal Customers,0,False
12370,Cyprus,52,7,4316.56,2604,616.65,617,4,4,5,445,168,372.0,3,🏆 Champions,0,False
12371,Switzerland,45,5,4067.38,1436,813.48,601,4,4,5,445,134,287.2,3,🏆 Champions,0,False
12372,Denmark,72,3,1298.04,794,432.68,225,3,3,4,334,34,264.67,0,💙 Loyal Customers,0,False
12373,Austria,312,3,1127.65,516,375.88,362,2,3,3,233,36,172.0,0,💙 Loyal Customers,0,False
