Date,DailyRevenue,DailyQuantity,DailyOrders,DailyCustomers,Revenue_MA7,Revenue_MA30,Quantity_MA7,Quantity_MA30,Revenue_Lag1,Revenue_Lag7,Revenue_Lag30,Quantity_Lag1,Quantity_Lag7,Quantity_Lag30
2009-12-01,43894.87,24335,98,91,,,,,,,,,,
2009-12-02,52762.06,29679,110,94,,,,,43894.87,,,24335.0,,
2009-12-03,67413.62,48009,122,106,,,,,52762.06,,,29679.0,,
2009-12-04,33913.81,19954,80,76,,,,,67413.62,,,48009.0,,
2009-12-05,9803.050000000001,5119,30,26,,,,,33913.81,,,19954.0,,
2009-12-06,24390.1,11502,72,63,,,,,9803.050000000001,,,5119.0,,
2009-12-07,33002.49,15557,94,77,,,,,24390.1,,,11502.0,,
2009-12-08,44763.340000000004,22241,102,91,37882.857142857145,,22022.14285714286,,33002.49,43894.87,,15557.0,24335.0,
2009-12-09,30763.170000000002,15881,77,74,38006.92428571428,,21723.0,,44763.340000000004,52762.06,,22241.0,29679.0,
2009-12-10,38598.21,22534,87,82,34864.22571428571,,19751.85714285714,,30763.170000000002,67413.62,,15881.0,48009.0,
2009-12-11,39204.17,21212,65,58,30747.73857142857,,16112.57142857143,,38598.21,33913.81,,22534.0,19954.0,
2009-12-12,0.0,0,0,0,31503.504285714287,,16292.285714285714,,39204.17,9803.050000000001,,21212.0,5119.0,
2009-12-13,21577.35,12205,69,63,30103.068571428572,,15561.0,,0.0,24390.1,,0.0,11502.0,
2009-12-14,51245.16,40815,80,69,29701.247142857144,,15661.42857142857,,21577.35,33002.49,,12205.0,15557.0,
2009-12-15,46836.63,26401,94,89,32307.342857142856,,19269.714285714286,,51245.16,44763.340000000004,,40815.0,22241.0,
2009-12-16,36927.3,22044,90,81,32603.527142857143,,19864.0,,46836.63,30763.170000000002,,26401.0,15881.0,
2009-12-17,29758.87,15031,84,77,33484.11714285715,,20744.428571428572,,36927.3,38598.21,,22044.0,22534.0,
2009-12-18,31562.72,15225,61,55,32221.354285714282,,19672.571428571428,,29758.87,39204.17,,15031.0,21212.0,
2009-12-19,0.0,0,0,0,31129.71857142857,,18817.285714285714,,31562.72,0.0,,15225.0,0.0,
2009-12-20,11355.19,6236,32,31,31129.71857142857,,18817.285714285714,,0.0,21577.35,,0.0,12205.0,
2009-12-21,15549.640000000001,8446,31,30,29669.41,,17964.571428571428,,11355.19,51245.16,,6236.0,40815.0,
2009-12-22,10696.59,11913,21,16,24570.05,,13340.42857142857,,15549.640000000001,46836.63,,8446.0,26401.0,
2009-12-23,9485.67,4321,13,12,19407.187142857143,,11270.714285714286,,10696.59,36927.3,,11913.0,22044.0,
2009-12-24,0.0,0,0,0,15486.954285714286,,8738.857142857143,,9485.67,29758.87,,4321.0,15031.0,
2009-12-25,0.0,0,0,0,11235.687142857145,,6591.571428571428,,0.0,31562.72,,0.0,15225.0,
2009-12-26,0.0,0,0,0,6726.727142857143,,4416.571428571428,,0.0,0.0,,0.0,0.0,
2009-12-27,0.0,0,0,0,6726.727142857142,,4416.571428571428,,0.0,11355.19,,0.0,6236.0,
2009-12-28,0.0,0,0,0,5104.557142857143,,3525.714285714286,,0.0,15549.640000000001,,0.0,8446.0,
2009-12-29,0.0,0,0,0,2883.1800000000003,,2319.1428571428573,,0.0,10696.59,,0.0,11913.0,
2009-12-30,0.0,0,0,0,1355.0957142857144,,617.2857142857143,,0.0,9485.67,,0.0,4321.0,
2009-12-31,0.0,0,0,0,0.0,22783.467,0.0,13288.666666666666,0.0,0.0,43894.87,0.0,0.0,24335.0
2010-01-01,0.0,0,0,0,0.0,21320.304666666667,0.0,12477.5,0.0,0.0,52762.06,0.0,0.0,29679.0
2010-01-02,0.0,0,0,0,0.0,19561.569333333333,0.0,11488.2,0.0,0.0,67413.62,0.0,0.0,48009.0
2010-01-03,0.0,0,0,0,0.0,17314.448666666667,0.0,9887.9,0.0,0.0,33913.81,0.0,0.0,19954.0
2010-01-04,13415.09,10593,26,22,0.0,16183.988333333335,0.0,9222.766666666666,0.0,0.0,9803.050000000001,0.0,0.0,5119.0
2010-01-05,19051.19,11288,33,31,1916.4414285714286,16304.389666666666,1513.2857142857142,9405.233333333334,13415.09,0.0,24390.1,10593.0,0.0,11502.0
2010-01-06,8731.26,7458,13,13,4638.04,16126.426,3125.8571428571427,9398.1,19051.19,0.0,33002.49,11288.0,0.0,15557.0
2010-01-07,72989.38,40592,45,41,5885.362857142857,15317.385,4191.285714285715,9128.133333333333,8731.26,0.0,44763.340000000004,7458.0,0.0,22241.0
2010-01-08,30292.7,12694,44,42,16312.417142857144,16258.253,9990.142857142857,9739.833333333334,72989.38,0.0,30763.170000000002,40592.0,0.0,15881.0
2010-01-09,0.0,0,0,0,20639.945714285717,16242.570666666667,11803.57142857143,9633.6,30292.7,0.0,38598.21,12694.0,0.0,22534.0
2010-01-10,23157.33,13291,31,29,20639.945714285717,14955.963666666668,11803.57142857143,8882.466666666667,0.0,0.0,39204.17,0.0,0.0,21212.0
2010-01-11,19684.49,9414,43,37,23948.135714285716,14421.069,13702.285714285714,8618.433333333332,23157.33,13415.09,0.0,13291.0,10593.0,0.0
2010-01-12,38833.58,20782,36,32,24843.76428571429,15077.21866666667,13533.857142857143,8932.233333333334,19684.49,19051.19,21577.35,9414.0,11288.0,12205.0
2010-01-13,12391.1,6541,25,25,27669.820000000003,15652.426333333335,14890.142857142857,9218.133333333333,38833.58,8731.26,51245.16,20782.0,7458.0,40815.0
2010-01-14,23721.64,11788,55,47,28192.65428571429,14357.291000000001,14759.142857142857,8075.666666666667,12391.1,72989.38,46836.63,6541.0,40592.0,26401.0
2010-01-15,13499.550000000001,8414,44,37,21154.405714285716,13586.791333333334,10644.285714285714,7588.566666666667,23721.64,30292.7,36927.3,11788.0,12694.0,22044.0
2010-01-16,0.0,0,0,0,18755.38428571429,12805.866333333335,10032.857142857143,7134.233333333334,13499.550000000001,0.0,29758.87,8414.0,0.0,15031.0
2010-01-17,17363.25,9910,39,35,18755.38428571429,11813.904,10032.857142857143,6633.2,0.0,23157.33,31562.72,0.0,13291.0,15225.0
2010-01-18,12078.84,8319,35,32,17927.658571428572,11340.588333333335,9549.857142857143,6456.033333333334,17363.25,19684.49,0.0,9910.0,9414.0,0.0
2010-01-19,21892.791,12939,45,41,16841.137142857147,11743.216333333334,9393.42857142857,6733.333333333333,12078.84,38833.58,11355.19,8319.0,20782.0,6236.0
2010-01-20,13244.34,8208,35,31,14421.02442857143,12094.4697,8273.0,6956.766666666666,21892.791,12391.1,15549.640000000001,12939.0,6541.0,8446.0
2010-01-21,27359.23,72900,48,47,14542.915857142858,12017.626366666667,8511.142857142857,6948.833333333333,13244.34,23721.64,10696.59,8208.0,11788.0,11913.0
2010-01-22,29345.83,16974,42,39,15062.571571428574,12573.047700000001,17241.428571428572,8981.733333333334,27359.23,13499.550000000001,9485.67,72900.0,8414.0,4321.0
2010-01-23,0.0,0,0,0,17326.32585714286,13235.053033333334,18464.285714285714,9403.5,29345.83,0.0,0.0,16974.0,0.0,0.0
2010-01-24,15552.32,8700,49,48,17326.32585714286,13235.053033333334,18464.285714285714,9403.5,0.0,17363.25,0.0,0.0,9910.0,0.0
2010-01-25,18346.54,9104,45,44,17067.621571428575,13753.463699999998,18291.428571428572,9693.5,15552.32,12078.84,0.0,8700.0,8319.0,0.0
2010-01-26,38570.37,22305,81,68,17963.007285714288,14365.015033333333,18403.571428571428,9996.966666666667,18346.54,21892.791,0.0,9104.0,12939.0,0.0
2010-01-27,23722.72,16985,51,47,20345.518571428573,15650.694033333333,19741.571428571428,10740.466666666667,38570.37,13244.34,0.0,22305.0,8208.0,0.0
2010-01-28,18914.83,10855,53,48,21842.43,16441.451366666664,20995.428571428572,11306.633333333333,23722.72,27359.23,0.0,16985.0,72900.0,0.0
2010-01-29,25382.441,9471,45,37,20636.087142857144,17071.9457,12131.857142857143,11668.466666666667,18914.83,29345.83,0.0,10855.0,16974.0,0.0
