CustomerID,PrimaryCountry,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,CustomerLifetimeDays,RecencyScore,FrequencyScore,MonetaryScore,RFMScore
12346,United Kingdom,2009-12-14 08:34:00,2011-01-18 10:01:00,326,12,77556.46,74285,6463.04,400,2,5,5,255
12347,Iceland,2010-10-31 14:20:00,2011-12-07 15:52:00,3,8,4921.53,2967,615.19,402,5,4,5,545
12348,Finland,2010-09-27 14:59:00,2011-09-25 13:13:00,76,5,2019.3999999999999,2714,403.88,363,3,4,4,344
12349,Italy,2010-04-29 13:20:00,2011-11-21 09:51:00,19,4,4428.6900000000005,1624,1107.17,571,5,3,5,535
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,311,1,334.40000000000003,197,334.4,0,2,1,2,212
12351,Unspecified,2010-11-29 15:23:00,2010-11-29 15:23:00,376,1,300.93,261,300.93,0,2,1,2,212
12352,Norway,2010-11-12 10:20:00,2011-11-03 14:37:00,37,10,2849.84,724,284.98,356,4,5,4,454
12353,Bahrain,2010-10-27 12:44:00,2011-05-19 17:47:00,205,2,406.76,212,203.38,204,2,2,2,222
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,233,1,1079.4,530,1079.4,0,2,1,3,213
12355,Bahrain,2010-05-21 11:59:00,2011-05-09 13:49:00,215,2,947.61,543,473.8,353,2,2,3,223
12356,Portugal,2010-10-11 09:42:00,2011-11-17 08:40:00,23,6,6371.7300000000005,3416,1061.96,402,4,4,5,445
12357,Switzerland,2010-11-16 10:05:00,2011-11-06 16:07:00,34,3,18287.66,6587,6095.89,355,4,3,5,435
12358,Austria,2009-12-08 07:59:00,2011-12-08 10:26:00,2,5,3887.07,1079,777.41,730,5,4,5,545
12359,Cyprus,2009-12-05 13:32:00,2011-10-13 12:47:00,58,10,8873.39,2739,887.34,677,4,5,5,455
12360,Austria,2010-02-22 09:32:00,2011-10-18 15:22:00,53,8,4252.89,2459,531.61,603,4,4,5,445
12361,Belgium,2010-01-26 14:37:00,2011-02-25 13:51:00,288,4,511.25,235,127.81,395,2,3,2,232
12362,Belgium,2009-12-01 10:10:00,2011-12-06 15:40:00,4,11,5356.2300000000005,2230,486.93,735,5,5,5,555
12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,408,276.0,133,3,2,2,322
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,1506,328.28,105,5,3,4,534
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,292,2,641.38,174,320.69,0,2,2,3,223
12366,Cyprus,2010-03-16 10:28:00,2010-03-16 10:28:00,634,1,500.24,296,500.24,0,1,1,2,112
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,5,1,168.9,173,168.9,0,5,1,1,511
12368,Cyprus,2010-03-21 15:56:00,2010-03-21 15:56:00,629,1,917.7,330,917.7,0,1,1,3,113
12369,Austria,2010-03-08 08:09:00,2010-10-22 13:13:00,414,3,1791.15,1241,597.05,228,1,3,4,134
12370,Cyprus,2010-02-09 09:41:00,2011-10-19 14:51:00,52,7,4316.56,2604,616.65,617,4,4,5,445
12371,Switzerland,2010-03-04 18:23:00,2011-10-26 10:16:00,45,5,4067.38,1436,813.48,601,4,4,5,445
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,72,3,1298.04,794,432.68,225,3,3,4,334
12373,Austria,2010-02-04 12:08:00,2011-02-01 13:10:00,312,3,1127.65,516,375.88,362,2,3,3,233
12374,Austria,2010-04-30 14:01:00,2011-11-14 15:37:00,26,4,2989.2200000000003,1362,747.3,563,4,3,5,435
12375,Finland,2011-09-02 14:23:00,2011-11-29 10:36:00,11,2,457.5,178,228.75,88,5,2,2,522
12376,Switzerland,2010-10-18 08:42:00,2010-11-15 12:15:00,390,2,503.15,240,251.58,28,2,2,2,222
12377,Switzerland,2010-04-29 15:34:00,2011-01-28 15:45:00,316,4,3426.32,2105,856.58,274,2,3,5,235
12378,Switzerland,2010-05-26 14:07:00,2011-08-02 10:34:00,130,2,5416.32,3316,2708.16,433,3,2,5,325
12379,Belgium,2010-06-23 12:49:00,2011-09-19 10:09:00,82,4,1620.22,815,405.06,453,3,3,4,334
12380,Belgium,2010-02-15 12:05:00,2011-11-18 11:27:00,22,11,9676.300000000001,3355,879.66,641,4,5,5,455
12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,5,5,1845.31,808,369.06,115,5,4,4,544
12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,185,5,1850.56,1532,370.11,168,3,4,4,344
12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,29,2,585.27,126,292.64,93,4,2,2,422
12385,Belgium,2010-11-25 15:14:00,2010-11-25 15:14:00,380,1,1938.4,612,1938.4,0,2,1,4,214
12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,338,2,401.9,354,200.95,29,2,2,2,222
